E	i
1.64029901102185	0.135307282209396
1.65522891283035	0.185052713379264
1.67015881463885	0.339263550005853
1.68508871644735	0.423830782994628
1.70001861825585	0.54321981780231
1.71494852006435	0.682507025077939
1.72987842187285	0.811845146119595
1.74480832368135	0.896412379108369
1.75973822548985	1.04564867261797
1.77466812729836	1.05559775885195
1.78959802910686	1.21478313859552
1.80452793091536	1.21478313859552
1.81945783272386	1.2595540266484
1.83438773453236	1.2993503715843
1.84931763634086	1.42371394950897
1.86424753814936	1.39884123392403
1.87917743995786	1.5232048118487
1.89410734176636	1.57295024301857
1.90903724357486	1.57792478613555
1.92396714538336	1.60777204483747
1.93889704719186	1.66746656224132
1.95382694900036	1.71721199341118
1.96875685080886	1.77690651081502
1.98368675261736	1.80675376951694
1.99861665442586	1.87142283003777
2.01354655623436	1.90624463185668
2.02847645804286	1.92116826120764
2.04340635985136	2.0107100373134
2.05833626165986	1.96096460614353
2.07326616346836	2.00076095107943
2.08819606527686	2.00076095107943
2.10312596708536	2.00573549419641
2.11805586889386	2.06045546848327
2.13298577070236	2.0107100373134
2.14791567251086	2.06045546848327
2.16284557431936	2.01568458043039
2.17777547612786	2.08035364095122
2.19270537793636	2.03060820978135
2.20763527974486	2.00076095107943
2.22256518155336	2.02563366666436
2.23749508336186	2.0107100373134
2.25242498517036	1.98583732172847
2.26735488697886	2.04553183913231
2.28228478878736	1.97091369237751
2.29721469059587	2.03060820978135
2.31214459240437	1.99578640796244
2.32707449421287	2.04055729601532
2.34200439602137	2.04055729601532
2.35693429782987	1.92116826120764
2.37684083357453	2.02065912354738
2.39177073538303	2.02065912354738
2.40670063719153	1.97588823549449
2.42163053900003	2.01568458043039
2.43656044080853	2.06543001160026
2.45149034261703	2.02563366666436
2.46642024442554	2.00076095107943
2.48135014623404	1.99081186484545
2.49628004804254	2.02563366666436
2.51120994985104	2.02563366666436
2.52613985165954	2.02065912354738
2.54106975346804	2.06045546848327
2.55599965527654	1.99578640796244
2.57092955708504	2.03558275289834
2.58585945889354	1.99081186484545
2.60078936070204	2.04055729601532
2.6206958964467	2.04055729601532
2.6057659946382	2.02065912354738
2.6206958964467	2.01568458043039
2.63562579825521	2.0853281840682
2.65055570006371	2.14004815835506
2.66548560187221	1.98583732172847
2.68041550368071	2.06045546848327
2.69534540548921	2.09030272718519
2.71027530729771	2.04055729601532
2.72520520910621	2.07537909783423
2.74013511091471	2.07040455471724
2.75506501272321	2.10025181341916
2.76999491453171	2.11517544277012
2.78492481634021	2.10025181341916
2.79985471814871	2.12014998588711
2.81478461995721	2.14999724458903
2.82971452176571	2.13009907212108
2.84464442357421	2.16492087393999
2.85957432538271	2.16492087393999
2.87450422719121	2.20969176199287
2.88943412899971	2.22958993446082
2.90436403080821	2.23456447757781
2.91929393261671	2.2743608225137
2.93422383442521	2.29425899498165
2.94915373623371	2.34400442615151
2.96408363804221	2.36887714173645
2.97901353985071	2.41364802978933
2.99394344165921	2.44846983160824
3.00887334346771	2.51811343524605
3.02380324527621	2.53303706459701
3.03873314708471	2.62257884070277
3.05863968282938	2.67729881498963
3.07356958463788	2.71212061680853
3.08849948644638	2.74694241862744
3.07356958463788	2.74196787551045
3.08849948644638	2.75689150486141
3.10342938825488	2.8016623929143
3.11835929006338	2.80663693603128
3.13328919187188	2.8762805396691
